Category::en,Item::en,Description::en,Enketo?,Collect?,Synonyms,Notes::en
,,,,,,
Column headers,,,,,,
,type,"Sets the question type, see above",✔,✔,,
,name,"Unique ID (name) of the question, is saved to XML",✔,✔,,
,label::[language],"Question or group label if using only one survey language, is displayed on screen",✔,✔,,::[language] is optional
,hint::[language],Hint for a question if using only one language,✔,✔,,::[language] is optional
,guidance_hint::[language],"Special kind of hint that is normally not shown in the form, only in special views.",✔,✔,,::[language] is optional
,constraint,Define the allowed values to a response,✔,✔,,
,constraint_message::[language],The message a user is shown if the response was not valid,✔,✔,constraint-msg,::[language] is optional
,required,Whether a question has to be answered in order for the form to continue/be saved,✔,✔,bind::required,"Allowed values: yes, no, TRUE, FALSE, true(), false(); or a statement that evaluates as true or false"
,required_message::[language]],Allows to customize the error message if required question is not answered,✔,✔,requiredMsg,::[language] is optional
,default,A default value that is pre-filled before the user gets to the question,✔,✔,,
,relevant,Skip logic condition (the relevant condition that needs to be fulfilled in order for the present question to be displayed),✔,✔,,
,read_only,Whether a question response can be edited,✔,✔,,"Allowed values: yes, no, TRUE, FALSE, true(), false(); or a statement that evaluates as true or false"
,calculation,Only relevant for calculate questions: a mathematical expression that can be referenced elsewhere,✔,✔,,
,repeat_count,"Number of repeats for a repeat group",✔,✔,repeat-count,
,image,An image to be shown with a question,✔,✔,,
,audio,Audio to be included with a question,✔,✔,,
,video,A video to be included with a question,✔,✔,,
,image::language,,✔,✔,media::image::language,::[language] is optional
,audio::language,,✔,✔,media::audio::language,::[language] is optional
,video::language,,✔,✔,media::video::language,::[language] is optional
,appearance,"Defines the way questions are displayed (widgets), see below",✔,✔,,
,instance::attribute,include custom XML content for the data instance,depends,depends,,
,bind::attribute,include custom XML content for the bind attribute,depends,depends,,
,body::attribute,include custom XML content in the body,depends,depends,,
,body::accuracyThreshold,set the minimum GPS accuracy level before automatically registering the coordinates,✕,✔,,
,parameters,"available settings for some question types",✔,✔,,
Questions,,These are put into the ‘type’ column,,,,
Meta questions,,"These are hidden to the user, but otherwise work like regular questions",,,,
,start,Record when the form was loaded,✔,✔,,
,end,Record when the form was finished,✔,✔,,
,today,Record the date the form was loaded,✔,✔,,
,deviceid,Get the device ID (for Android devices),✔,✔,imei,Enketo will generate a unique ID for a browser-device combo.
,username,Get the user name (set in ODK settings),✔,✔,,
,subscriberid,,✕,✔,,
,simserial,,✕,✔,,
,phonenumber,,✕,✔,phone_number,TBC: phone_number
,email,Add user email to submission (if used),?,?,,
,audit,Record enumerator behavior,✕,✔,,"optional settings in parameters column to enable location tracking: location-priority, location-min-interval, location-max-age"
Regular questions,,,,,,
,select_one [choices] [or_other],User can choose one of several choices,✔,✔,select one,
,select_multiple [choices] [or_other],User can choose one or more of several choices,✔,✔,select multiple,
,select_one_from_file [file],User can choose one of several choices from an external file,✔,✔,,"Optional settings in parameters column: 'value' (string, default = 'name') for the choice value column in the external file, 'label' (string, default = 'label') for the choice label column in the external file, 'randomize' (bool, default = 'false') to activate choice randomization, and 'seed' (number, default = none) to set the randomization seed value."
,select_multiple_from_file [file],User can choose one or more of several choices from an external file,✔,✔,,"Optional settings in parameters column: 'value' (string, default = 'name') for the choice value column in the external file, 'label' (string, default = 'label') for the choice label column in the external file, 'randomize' (bool, default = 'false') to activate choice randomization, and 'seed' (number, default = none) to set the randomization seed value."
,select_one_external,,✕,✔,,
,rank [choices],User can rank a list of choices,✔,✔,,
,text,User can enter a text response,✔,✔,,
,integer,User can enter an integer,✔,✔,,
,decimal,User can enter a decimal number,✔,✔,,
,date,User can enter a date,✔,✔,,
,time,User can enter a time of day,✔,✔,,
,datetime,User can enter date and time together,✔,✔,,
,geopoint,User can record a GPS location,✔,✔,location,
,image,User can take or attach a picture,✔,✔,photo,
,audio,User can record or attach audio,✔,✔,,"Collect accepts an optional quality parameter with possible values voice-only, low, normal and external",
,background-audio,Audio is recorded in the background while filling the form,✕,✔,,"optional quality parameter with possible values voice-only, low and normal",
,video,User can record or attach video,✔,✔,,
,file,User can attach file of any type,✔,✔,,
,note,User is shown a note (no response possible),✔,✔,,
,barcode,User can enter a barcode by scanning it,✕,✔,,
,acknowledge,User is asked to confirm or acknowledge something,✔,✔,trigger,
,calculate,A mathematical expression of existing values that can be used by other questions (no user input),✔,✔,,Calculate creates an instance variable with no body element that gets set by an xpath expression (specified in the calculation column)
,geotrace,User can record a line or polyline or multiple geo points,✔,✔,,
,geoshape,User can record a polygon of multiple geo points - the last point is the same as the first point,✔,✔,,
Groups,,"Groups contain one or more questions, or other nested groups, which may loop (repeat)",,,,
,begin_group,Sets the beginning of a group,✔,✔,begin group,
,end_group,Ends the group,✔,✔,end group,
,begin_repeat,Sets the beginning of a repeat group,✔,✔,,
,end_repeat,Ends the repeat group,✔,✔,,
Form Variable References,,,,,,
